75121515,772340917
56911897,2642949
1878206,2642949
306599749,2642949
661296050,2642949
178022,6676300
103106,6676300
1068947,306599749
103106,92011650
554507798,180693631
59092554,53869226
555516,189725431
6237542,103106
14016736,73500847
6184963,73500847
167823044,73500847
589122533,406968739
103106,174924799
12524356,510185483
517728809,510185483
103106,721083512
26251367,446107194
426159226,446107194
36196496,446107194
607675682,480055750
2684945,219814
103106,27872642
103106,6237542
9844424,14764725
704444120,14764725
406968739,651547331
103106,1449452
20354656,3035721
53869226,3035721
37516337,3035721
9844424,3035721
103106,442084054
103106,16965672
735006122,274100
695938805,274100
337147379,1751725
5144074,52154351
345743256,738216007
87276,737819869
103106,548596532
7872598,87276
725013218,725986661
725013218,725702120
745176580,438006214
103106,27662676
341212,87276
103106,47162795
274618736,26472552
326187495,385262452
725013218,75208599
12524356,75208599
754626250,75208599
103106,613852244
693407849,1633607
725013218,21828455
29898443,21828455
466998438,501865238
103106,609212198
37516337,13318853
14764725,1741923
429285330,277936211
17475639,34103180
37516337,34103180
103106,9232006
555103478,9232006
8537526,9232006
2513943,9232006
361271292,641008601
103106,6136730
725013218,6136730
12524356,6136730
326187495,6136730
555103478,12811765
1317304,12811765
326187495,6350258
103106,6350258
330642511,49277647
532480589,49277647
103106,746231521
9232006,8537526
2513943,8537526
103106,41645217
302568357,2513943
326187495,2513943
103106,90298985
103106,352484
624679016,352484
3162810,3340967
49277647,670074131
326187495,498179765
2982457,8717541
635476424,29963851
427482762,7175660
385262452,326187495
532480589,314577011
12524356,314577011
428731050,25940690
103106,25940690
16965672,2513943
21885872,2513943
2513943,302568357
532480589,481557518
326187495,518281586
6676300,156719080
103106,69246572
517639187,69246572
326187495,497086952
2513943,2130133
326187495,2130133
326187495,418901794
326187495,5148323
103106,5148323
434275666,206493321
326187495,23989856
6184963,23989856
90071864,5148323
142804855,3001054
326187495,7227057
6184963,331955271
56911897,331955271
103106,2214362
103106,68430921
7536121,20545898
87276,20028021
44425295,7374236
7536121,2816709
3001054,2816709
2221562,7536121
3001054,1897249
3001054,2229230
3001054,7045190
219814,7112684
3001054,7112684
3001054,3090577
219814,3090577
219814,2487737
3001054,2487737
3001054,820216
3001054,1202688
